election_year,election_date,election_type,notes
2024,"2024-02-27","PRIMARY"
2024,"2024-08-06","EARLY VOTING"
2024,"2024-08-06","PRIMARY"
2024,"2024-11-05","GENERAL"
2025,"2025-05-06","SPECIAL"
2025,"2025-08-05","PRIMARY"
2025,"2025-11-04","GENERAL"
